[3.0, -0.328, 1.091, 9.6, 4.0, 0.001, 0.002, 0.001]
[3.0, -0.326, 1.086, 9.61, 4.0, -0.0, 0.001, 0.0]
[3.0, -0.311, 1.067, 9.636, 4.0, -0.0, -0.0, 0.0]
[3.0, -0.33, 1.077, 9.603, 4.0, -0.0, -0.0, 0.001]
[3.0, -0.34, 1.053, 9.615, 4.0, 0.0, 0.0, 0.0]
[3.0, -0.33, 1.06, 9.624, 4.0, -0.0, 0.0, -0.001]
[3.0, -0.338, 1.069, 9.617, 4.0, 0.0, -0.0, 0.0]
[3.0, -0.311, 1.089, 9.61, 4.0, 0.0, 0.0, 0.0]
[3.0, -0.326, 1.081, 9.598, 4.0, 0.0, 0.002, 0.001]
[3.0, -0.338, 1.079, 9.612, 4.0, 0.0, 0.001, 0.001]
[3.0, -0.316, 1.091, 9.605, 4.0, 0.0, 0.0, 0.0]
[3.0, -0.328, 1.084, 9.603, 4.0, 0.0, 0.0, -0.001]
[3.0, -0.328, 1.074, 9.595, 4.0, -0.0, 0.0, -0.001]
[3.0, -0.323, 1.081, 9.624, 4.0, 0.0, 0.0, 0.0]
[3.0, -0.33, 1.089, 9.615, 4.0, 0.0, 0.0, 0.001]
[3.0, -0.333, 1.081, 9.598, 4.0, 0.0, 0.001, 0.001]
[3.0, -0.34, 1.079, 9.605, 4.0, 0.0, 0.001, 0.0]
[3.0, -0.33, 1.089, 9.607, 4.0, 0.0, 0.0, 0.0]
[3.0, -0.34, 1.086, 9.6, 4.0, 0.0, 0.002, 0.001]
[3.0, -0.333, 1.079, 9.595, 4.0, 0.0, 0.0, 0.001]
[3.0, -0.333, 1.091, 9.603, 4.0, 0.0, 0.001, 0.0]
[3.0, -0.333, 1.089, 9.603, 4.0, 0.0, 0.001, 0.0]
[3.0, -0.335, 1.086, 9.607, 4.0, 0.0, 0.001, -0.001]
[3.0, -0.326, 1.091, 9.603, 4.0, 0.0, 0.001, 0.0]
[3.0, -0.328, 1.079, 9.6, 4.0, 0.0, 0.002, 0.0]
[3.0, -0.34, 1.089, 9.603, 4.0, 0.001, 0.0, -0.001]
[3.0, -0.326, 1.081, 9.607, 4.0, 0.0, 0.0, 0.0]
[3.0, -0.33, 1.086, 9.607, 4.0, -0.0, 0.0, 0.001]
[3.0, -0.333, 1.077, 9.598, 4.0, -0.0, 0.0, 0.001]
[3.0, -0.321, 1.072, 9.586, 4.0, 0.0, 0.0, 0.001]
[3.0, -0.342, 1.074, 9.605, 4.0, 0.0, 0.0, 0.001]
